Optical Power Monitor
1.1.2315.102
Delimiter Used: Tab

Start of Measurement 	 11/8/2023 11:46:44
Sample Interval 	 30 s
	 PM100USB 1903338
Type	 PM100USB
Serialnumber	 1903190
Sensor	 S405C
SensorSerialnumber	 1903338
Wavelength / Responsivity	 635 nm

			PM100USB 1903338	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Power (W)	
0	 11/8/2023	 11:46:44	0.0051995
1	 11/8/2023	 11:47:15	0.0051926
2	 11/8/2023	 11:47:45	0.0051983
3	 11/8/2023	 11:48:15	0.0051972
4	 11/8/2023	 11:48:45	0.0052004
5	 11/8/2023	 11:49:15	0.0051996
6	 11/8/2023	 11:49:45	0.0052034
7	 11/8/2023	 11:50:15	0.0052022
8	 11/8/2023	 11:50:45	0.0052036
9	 11/8/2023	 11:51:15	0.0052052
10	 11/8/2023	 11:51:45	0.0052094
11	 11/8/2023	 11:52:15	0.0052095
12	 11/8/2023	 11:52:45	0.0052114
13	 11/8/2023	 11:53:15	0.0052134
14	 11/8/2023	 11:53:45	0.0052146
15	 11/8/2023	 11:54:15	0.0052166
16	 11/8/2023	 11:54:45	0.0052161
17	 11/8/2023	 11:55:15	0.0052197
18	 11/8/2023	 11:55:45	0.0052208
19	 11/8/2023	 11:56:15	0.0052211
20	 11/8/2023	 11:56:45	0.0052229
21	 11/8/2023	 11:57:15	0.0052266
22	 11/8/2023	 11:57:45	0.0052277
23	 11/8/2023	 11:58:15	0.0052282
24	 11/8/2023	 11:58:45	0.0052313
25	 11/8/2023	 11:59:15	0.0052331
26	 11/8/2023	 11:59:45	0.0052346
27	 11/8/2023	 12:00:15	0.0052383
28	 11/8/2023	 12:00:45	0.0052422
29	 11/8/2023	 12:01:15	0.0052445
30	 11/8/2023	 12:01:45	0.0052464
31	 11/8/2023	 12:02:15	0.0052496
32	 11/8/2023	 12:02:45	0.0052522
33	 11/8/2023	 12:03:15	0.0052549
34	 11/8/2023	 12:03:45	0.0052566
35	 11/8/2023	 12:04:15	0.0052568
36	 11/8/2023	 12:04:45	0.0052598
37	 11/8/2023	 12:05:15	0.0052602
38	 11/8/2023	 12:05:45	0.0052622
39	 11/8/2023	 12:06:15	0.005263
40	 11/8/2023	 12:06:45	0.0052644
41	 11/8/2023	 12:07:15	0.0052672
42	 11/8/2023	 12:07:45	0.0052656
43	 11/8/2023	 12:08:15	0.0052722
44	 11/8/2023	 12:08:45	0.0052703
45	 11/8/2023	 12:09:15	0.0052782
46	 11/8/2023	 12:09:45	0.0052805
47	 11/8/2023	 12:10:15	0.0052851
48	 11/8/2023	 12:10:45	0.0052872
49	 11/8/2023	 12:11:15	0.0052884
50	 11/8/2023	 12:11:45	0.0052907
51	 11/8/2023	 12:12:15	0.0052888
52	 11/8/2023	 12:12:45	0.0052939
53	 11/8/2023	 12:13:15	0.0052939
54	 11/8/2023	 12:13:45	0.0052973
55	 11/8/2023	 12:14:15	0.0052972
56	 11/8/2023	 12:14:45	0.005296
57	 11/8/2023	 12:15:15	0.0052969
58	 11/8/2023	 12:15:45	0.0053044
59	 11/8/2023	 12:16:15	0.0053012
60	 11/8/2023	 12:16:45	0.0053026
61	 11/8/2023	 12:17:15	0.0053056
62	 11/8/2023	 12:17:45	0.0053077
63	 11/8/2023	 12:18:15	0.0053072
64	 11/8/2023	 12:18:45	0.0053117
65	 11/8/2023	 12:19:15	0.0053158
66	 11/8/2023	 12:19:45	0.00532
67	 11/8/2023	 12:20:15	0.00532
68	 11/8/2023	 12:20:45	0.0053224
69	 11/8/2023	 12:21:15	0.0053267
70	 11/8/2023	 12:21:45	0.0053267
71	 11/8/2023	 12:22:15	0.0053262
72	 11/8/2023	 12:22:45	0.0053283
73	 11/8/2023	 12:23:15	0.0053294
74	 11/8/2023	 12:23:45	0.0053301
75	 11/8/2023	 12:24:15	0.0053304
76	 11/8/2023	 12:24:45	0.0053281
77	 11/8/2023	 12:25:15	0.0053245
78	 11/8/2023	 12:25:45	0.005327
79	 11/8/2023	 12:26:15	0.0053354
80	 11/8/2023	 12:26:45	0.0053337
81	 11/8/2023	 12:27:15	0.0053384
82	 11/8/2023	 12:27:45	0.0053361
83	 11/8/2023	 12:28:15	0.0053392
84	 11/8/2023	 12:28:45	0.0053434
85	 11/8/2023	 12:29:15	0.005346
86	 11/8/2023	 12:29:45	0.0053454
87	 11/8/2023	 12:30:15	0.0053514
88	 11/8/2023	 12:30:45	0.0053506
89	 11/8/2023	 12:31:15	0.0053481
90	 11/8/2023	 12:31:45	0.0053498
91	 11/8/2023	 12:32:15	0.0053521
92	 11/8/2023	 12:32:45	0.0053512
93	 11/8/2023	 12:33:15	0.005353
94	 11/8/2023	 12:33:45	0.0053539
95	 11/8/2023	 12:34:15	0.0053506
96	 11/8/2023	 12:34:45	0.0053534
97	 11/8/2023	 12:35:15	0.0053558
98	 11/8/2023	 12:35:45	0.0053532
99	 11/8/2023	 12:36:15	0.005355
100	 11/8/2023	 12:36:45	0.0053601
101	 11/8/2023	 12:37:15	0.005362
102	 11/8/2023	 12:37:45	0.0053642
103	 11/8/2023	 12:38:15	0.0053638
104	 11/8/2023	 12:38:45	0.0053635
105	 11/8/2023	 12:39:15	0.0053667
106	 11/8/2023	 12:39:45	0.0053683
107	 11/8/2023	 12:40:15	0.0053681
108	 11/8/2023	 12:40:45	0.0053688
109	 11/8/2023	 12:41:15	0.0053679
110	 11/8/2023	 12:41:45	0.0053673
111	 11/8/2023	 12:42:15	0.0053668
112	 11/8/2023	 12:42:45	0.0053614
113	 11/8/2023	 12:43:15	0.0053665
114	 11/8/2023	 12:43:45	0.005368
115	 11/8/2023	 12:44:15	0.0053653
116	 11/8/2023	 12:44:45	0.0053678
117	 11/8/2023	 12:45:15	0.0053695
118	 11/8/2023	 12:45:45	0.0053693
119	 11/8/2023	 12:46:15	0.0053724
120	 11/8/2023	 12:46:45	0.0053726
121	 11/8/2023	 12:47:15	0.0053735
122	 11/8/2023	 12:47:45	0.0053768
123	 11/8/2023	 12:48:15	0.0053763
