# Date: Thu Nov 9 15:43:33 2023
# Object: noProject-BWS0001
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 09
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
378.067	7.34153	0.594294	48.137	-3.30225	-44.9667	7.22534	1.99529	1.44114	-3.63514	6.07572	-5.95572	-4.57379
388.066	7.5357	0.610012	48.0886	-3.60612	-44.65	7.63666	2.06197	1.39276	-3.939	6.39242	-6.24812	-4.99108
398.066	7.72989	0.625731	48.143	-3.54524	-44.7036	7.57062	2.07762	1.44718	-3.87813	6.33877	-6.1995	-4.90804
408.063	7.92401	0.641446	48.2072	-3.49734	-44.7156	7.54871	2.10579	1.51134	-3.83022	6.32678	-6.19131	-4.84583
418.063	8.1182	0.657165	48.1694	-3.58101	-44.5931	7.68659	2.10669	1.4736	-3.9139	6.44931	-6.30684	-4.9649
428.062	8.31237	0.672883	48.2257	-3.52444	-44.5277	7.72401	2.12667	1.52985	-3.85733	6.51467	-6.37649	-4.89928
438.061	8.50653	0.6886	48.2341	-3.70081	-44.3522	7.96214	2.18953	1.53827	-4.03369	6.6902	-6.53715	-5.14345
448.06	8.7007	0.704318	48.2171	-3.697	-44.3504	7.95847	2.17664	1.52125	-4.02989	6.69202	-6.53928	-5.13876
458.059	8.89487	0.720036	48.2988	-3.75525	-44.2624	8.07782	2.2518	1.60298	-4.08814	6.78002	-6.6221	-5.22306
468.059	9.08905	0.735755	48.2387	-3.80407	-44.152	8.18367	2.22665	1.5429	-4.13696	6.89039	-6.7279	-5.29802
478.108	9.28419	0.751551	48.272	-3.74861	-44.1102	8.19744	2.23095	1.57619	-4.0815	6.93217	-6.77426	-5.23115
488.107	9.47836	0.767269	48.3259	-3.72381	-44.0725	8.22763	2.26071	1.6301	-4.05669	6.96993	-6.81398	-5.20327
498.107	9.67254	0.782988	48.3316	-3.78028	-44.0154	8.30502	2.28272	1.63579	-4.11316	7.02704	-6.86609	-5.28249
508.105	9.86669	0.798704	48.3625	-3.8119	-43.9495	8.38254	2.31467	1.66671	-4.14479	7.09293	-6.92902	-5.33073
518.104	10.0609	0.814422	48.3492	-3.94222	-43.822	8.55244	2.34784	1.65338	-4.27511	7.22039	-7.04451	-5.51415
528.103	10.255	0.83014	48.4177	-3.87676	-43.8161	8.53848	2.37463	1.72186	-4.20964	7.22633	-7.05624	-5.42991
538.152	10.4502	0.845936	48.4164	-3.97304	-43.6932	8.68981	2.40491	1.72061	-4.30592	7.34924	-7.17006	-5.5693
548.151	10.6443	0.861654	48.454	-3.8938	-43.7547	8.60621	2.40613	1.75814	-4.22669	7.28772	-7.11589	-5.45911
558.15	10.8385	0.877371	48.447	-4.01458	-43.6153	8.78231	2.44004	1.75121	-4.34746	7.4271	-7.24381	-5.63264
568.149	11.0327	0.893089	48.5035	-3.96588	-43.582	8.798	2.46515	1.80766	-4.29877	7.46041	-7.28143	-5.57315
578.148	11.2268	0.908807	48.4927	-4.00612	-43.5445	8.84725	2.47019	1.7969	-4.33901	7.49787	-7.31506	-5.63011
588.198	11.422	0.924605	48.4845	-4.19324	-43.3661	9.08906	2.52549	1.78872	-4.52613	7.67631	-7.47514	-5.89665
598.198	11.6162	0.940324	48.5679	-4.03103	-43.4328	8.96962	2.5329	1.87209	-4.36392	7.60958	-7.424	-5.67613
608.197	11.8103	0.956042	48.5188	-4.21241	-43.2259	9.22393	2.55663	1.82303	-4.54529	7.8165	-7.61282	-5.93962
