# Date: Wed Nov 8 13:53:30 2023
# Object: BWS0001-BW1-G03
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 03
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
0	0	0	50.1123	-1.32381	-51.1812	0	0	0	0	0	0	0
2.85	0.055343	0.00447999	50.136	-1.35361	-51.084	0.10445	0.0291386	0.0237747	-0.0298013	0.0972448	-0.0964315	-0.0362215
12.85	0.249529	0.0201993	50.0617	-1.96103	-50.3912	1.01622	0.264954	-0.0505893	-0.637218	0.789998	-0.768973	-0.746968
22.898	0.444647	0.035994	50.0681	-2.34721	-49.8985	1.64151	0.421954	-0.0441357	-1.0234	1.28268	-1.24462	-1.21156
32.847	0.637843	0.0516331	50.2762	-2.35513	-49.6792	1.82933	0.437341	0.163922	-1.03132	1.50199	-1.46332	-1.23254
42.846	0.83201	0.0673508	50.2897	-2.69912	-49.2352	2.38953	0.577454	0.177407	-1.37532	1.946	-1.88919	-1.65624
52.845	1.02618	0.0830685	50.3209	-2.82637	-48.9929	2.66269	0.63378	0.208686	-1.50256	2.1883	-2.12396	-1.82007
62.845	1.22036	0.0987878	50.3836	-3.04744	-48.6822	3.0479	0.742732	0.271356	-1.72363	2.49903	-2.42086	-2.10033
72.844	1.41453	0.114506	50.5039	-2.97135	-48.628	3.06377	0.759954	0.39162	-1.64754	2.55322	-2.47964	-2.015
82.843	1.6087	0.130223	50.5852	-3.11218	-48.3979	3.34194	0.852691	0.472903	-1.78838	2.78328	-2.70043	-2.19765
92.891	1.80381	0.146018	50.5161	-3.3125	-48.0776	3.70814	0.890577	0.403845	-1.98869	3.1036	-3.00674	-2.45976
102.892	1.99802	0.161739	50.651	-3.31719	-48.0442	3.75562	0.960164	0.538728	-1.99338	3.13702	-3.03976	-2.46806
112.891	2.19219	0.177456	50.6827	-3.42473	-47.8826	3.95226	1.01599	0.570395	-2.10092	3.29866	-3.19346	-2.6094
