# Date: Thu Nov 9 15:31:48 2023
# Object: noProject-BWS0001
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 08
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
0	0	0	45.5568	0.809079	-51.1179	0	0	0	0	0	0	0
5.748	0.111618	0.00903544	45.6464	0.251331	-50.3613	0.944218	0.221321	0.0896218	-0.557748	0.756594	-0.762369	-0.620849
15.748	0.305804	0.0247547	45.7489	0.0706114	-49.9861	1.36497	0.318063	0.192121	-0.738468	1.13177	-1.13813	-0.825848
25.747	0.499971	0.0404724	45.7935	-0.173997	-49.5337	1.87943	0.411409	0.236664	-0.983076	1.58423	-1.59033	-1.10805
35.746	0.694137	0.0561901	45.8488	-0.529784	-49.1324	2.41246	0.557932	0.292	-1.33886	1.98548	-1.98903	-1.52457
45.747	0.888343	0.071911	45.9098	-0.711566	-48.8079	2.788	0.643147	0.353014	-1.52065	2.30998	-2.31119	-1.74204
55.744	1.08247	0.0876255	46.0944	-0.780466	-48.6227	3.00698	0.767246	0.537623	-1.58955	2.49524	-2.49538	-1.82639
65.746	1.2767	0.103348	46.1183	-0.883706	-48.4143	3.23883	0.809679	0.56146	-1.69279	2.70356	-2.7019	-1.95249
75.742	1.4708	0.119061	46.1677	-1.00198	-48.1744	3.50956	0.873037	0.610864	-1.81106	2.94345	-2.93944	-2.09831
85.741	1.66497	0.134779	46.1297	-1.33265	-47.8548	3.94499	0.956818	0.572866	-2.14173	3.26309	-3.25094	-2.50193
95.792	1.86015	0.150578	46.2123	-1.40476	-47.6665	4.15247	1.02319	0.655466	-2.21384	3.45142	-3.43713	-2.59484
105.79	2.05429	0.166294	46.2782	-1.39926	-47.5744	4.23715	1.0584	0.721391	-2.20833	3.54349	-3.52932	-2.59148
115.788	2.24844	0.18201	46.3569	-1.5703	-47.349	4.52836	1.16004	0.800117	-2.37938	3.76888	-3.74925	-2.80626
125.788	2.44263	0.19773	46.3144	-1.64964	-47.1634	4.71779	1.15537	0.757594	-2.45872	3.95453	-3.93209	-2.91002
135.787	2.63679	0.213447	46.4065	-1.61177	-47.114	4.75538	1.19993	0.849679	-2.42085	4.00389	-3.98274	-2.86611
145.787	2.83098	0.229167	46.4467	-1.69575	-46.9587	4.9361	1.25023	0.889832	-2.50483	4.15922	-4.13501	-2.97493
155.786	3.02515	0.244884	46.5102	-1.65699	-46.9319	4.95109	1.28128	0.953397	-2.46607	4.18602	-4.16319	-2.92885
165.834	3.22026	0.260679	46.3967	-2.18704	-46.4085	5.6445	1.37756	0.83984	-2.99612	4.70938	-4.66428	-3.6049
175.783	3.41346	0.276318	46.4731	-2.04158	-46.4495	5.54616	1.37132	0.916265	-2.85066	4.66841	-4.62996	-3.42347
185.832	3.6086	0.292114	46.5069	-2.0824	-46.3773	5.63356	1.40495	0.950084	-2.89148	4.74064	-4.70032	-3.47772
195.783	3.80183	0.307757	46.5403	-2.24339	-46.107	5.94924	1.47563	0.983481	-3.05247	5.01085	-4.96271	-3.69238
205.83	3.99693	0.32355	46.5872	-2.20549	-46.0704	5.96877	1.49213	1.03038	-3.01457	5.04747	-5.00111	-3.64756
215.829	4.1911	0.339268	46.5453	-2.46698	-45.8334	6.29567	1.55219	0.988445	-3.27606	5.28449	-5.22455	-3.98776
225.829	4.38528	0.354987	46.7161	-2.32302	-45.8594	6.22939	1.61223	1.15925	-3.1321	5.25846	-5.20607	-3.80664
235.828	4.57945	0.370705	46.7321	-2.262	-45.8101	6.24382	1.60441	1.17526	-3.07108	5.30778	-5.25837	-3.73363
245.829	4.77366	0.386425	46.7447	-2.366	-45.6801	6.40795	1.64358	1.18785	-3.17508	5.4378	-5.38297	-3.87177
255.826	4.96778	0.40214	46.8023	-2.35413	-45.6319	6.4539	1.67955	1.24543	-3.16321	5.48596	-5.43168	-3.86003
265.826	5.16197	0.417859	46.7695	-2.51338	-45.4591	6.67316	1.70458	1.21272	-3.32246	5.65877	-5.59575	-4.07137
275.824	5.35612	0.433575	46.8113	-2.55335	-45.348	6.79491	1.74453	1.25444	-3.36243	5.76986	-5.70443	-4.12946
285.823	5.55028	0.449293	46.8337	-2.59361	-45.2564	6.89681	1.77181	1.27687	-3.40269	5.8615	-5.79365	-4.18678
295.824	5.74449	0.465014	46.8004	-2.76323	-45.0543	7.14664	1.80244	1.24355	-3.57231	6.06355	-5.98529	-4.4164
305.821	5.93862	0.480729	46.8915	-2.56818	-45.1501	6.98581	1.80446	1.33464	-3.37726	5.96778	-5.9012	-4.16231
315.871	6.13377	0.496526	46.815	-2.93583	-44.8082	7.44441	1.86759	1.25819	-3.74491	6.30966	-6.21999	-4.65544
325.871	6.32796	0.512246	46.9743	-2.64497	-45.0215	7.14881	1.88501	1.41747	-3.45405	6.09637	-6.02515	-4.269
335.87	6.52213	0.527963	46.9375	-2.88488	-44.7684	7.47446	1.93103	1.38066	-3.69396	6.34948	-6.26303	-4.59384
345.87	6.71631	0.543683	46.9419	-2.88828	-44.7159	7.52161	1.93514	1.38504	-3.69736	6.40201	-6.31523	-4.60249
355.868	6.91046	0.559399	46.9337	-3.00688	-44.514	7.75042	1.96707	1.37686	-3.81596	6.60392	-6.50888	-4.77119
365.867	7.10463	0.575117	47.0251	-3.03374	-44.4588	7.82734	2.03679	1.46831	-3.84282	6.65914	-6.56215	-4.81043
375.866	7.29879	0.590834	47.1205	-2.77375	-44.6563	7.5521	2.02876	1.56372	-3.58283	6.46161	-6.38195	-4.46105
385.865	7.49296	0.606552	47.0345	-3.09003	-44.2693	8.0181	2.06144	1.47766	-3.89911	6.84861	-6.7473	-4.8996
395.915	7.68812	0.62235	47.0618	-3.00631	-44.3143	7.94426	2.05517	1.505	-3.81539	6.80361	-6.70815	-4.78782
405.913	7.88226	0.638066	47.1352	-3.15063	-44.1639	8.15654	2.14938	1.57838	-3.95971	6.95404	-6.8482	-4.98733
415.862	8.07546	0.653705	47.0344	-3.199	-44.0437	8.26389	2.09663	1.47763	-4.00808	7.07416	-6.96454	-5.06102
425.911	8.2706	0.669501	47.1625	-3.19854	-44.0338	8.29604	2.1837	1.60569	-4.00762	7.08414	-6.97453	-5.06136
435.86	8.46379	0.68514	47.145	-3.15735	-44.0298	8.27625	2.15976	1.58817	-3.96643	7.08812	-6.98146	-5.00841
445.861	8.658	0.700861	47.152	-3.21132	-43.9019	8.41301	2.18196	1.59515	-4.0204	7.21599	-7.1051	-5.09039
455.909	8.85312	0.716656	47.1891	-3.34366	-43.7758	8.5916	2.24782	1.63232	-4.15274	7.34207	-7.22096	-5.27463
465.908	9.04728	0.732374	47.1802	-3.27585	-43.7646	8.56698	2.22216	1.62334	-4.08492	7.35332	-7.2373	-5.18748
475.907	9.24145	0.748091	47.1543	-3.42986	-43.5846	8.79036	2.25261	1.59747	-4.23894	7.53325	-7.40491	-5.40636
485.906	9.43562	0.763809	47.2036	-3.40648	-43.5685	8.80205	2.27934	1.64679	-4.21556	7.54939	-7.42283	-5.37746
495.907	9.62982	0.77953	47.3244	-3.33427	-43.6107	8.75502	2.34282	1.76762	-4.14335	7.50723	-7.38636	-5.27885
505.904	9.82395	0.795245	47.2858	-3.46991	-43.4697	8.93273	2.35611	1.72894	-4.27899	7.64818	-7.51631	-5.47067
515.904	10.0181	0.810964	47.2882	-3.45658	-43.4466	8.94662	2.35442	1.7314	-4.26566	7.67128	-7.54039	-5.45561
525.903	10.2123	0.826682	47.2649	-3.60045	-43.2152	9.20947	2.38461	1.70809	-4.40953	7.90271	-7.75939	-5.66936
535.952	10.4074	0.842478	47.3784	-3.41546	-43.34	9.03667	2.4094	1.82162	-4.22454	7.77794	-7.64997	-5.41274
545.952	10.6016	0.858197	47.3689	-3.54973	-43.1978	9.22011	2.44237	1.81209	-4.35881	7.92007	-7.78087	-5.60444
555.951	10.7958	0.873915	47.3532	-3.68842	-43.0552	9.40541	2.47404	1.79633	-4.4975	8.06271	-7.91141	-5.80321
565.949	10.9899	0.889631	47.3562	-3.66936	-43.0588	9.39377	2.47049	1.79935	-4.47844	8.05909	-7.90943	-5.77762
575.998	11.1851	0.905427	47.3815	-3.699	-42.9133	9.53766	2.49986	1.8247	-4.50808	8.20455	-8.05183	-5.83333
585.948	11.3783	0.921068	47.3651	-3.7692	-42.881	9.59565	2.50962	1.80827	-4.57828	8.23687	-8.07794	-5.93011
595.948	11.5725	0.936787	47.5144	-3.53259	-43.0075	9.40533	2.54745	1.95761	-4.34167	8.11036	-7.97193	-5.60245
605.945	11.7666	0.952502	47.4432	-3.6924	-42.8137	9.63233	2.54383	1.88641	-4.50148	8.30421	-8.15168	-5.83598
