# Date: Wed Nov 8 14:44:42 2023
# Object: BWS0001-BW1-G03
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 05
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
0	0	0	52.4752	-2.82654	-50.9876	0	0	0	0	0	0	0
10.199	0.19805	0.0160321	52.7464	-3.32393	-50.1236	1.03321	0.334103	0.271252	-0.497389	0.864032	-0.832226	-0.621005
20.197	0.392198	0.0317482	52.8155	-3.7382	-49.4846	1.79051	0.502794	0.340375	-0.91166	1.50298	-1.44027	-1.14708
30.196	0.586364	0.0474659	52.9725	-3.97658	-49.0492	2.30811	0.682478	0.497346	-1.15004	1.93841	-1.85576	-1.46203
40.218	0.780977	0.0632198	52.9942	-4.24586	-48.5707	2.85055	0.783066	0.51908	-1.41932	2.41697	-2.31003	-1.82289
50.245	0.975688	0.0789815	53.1273	-4.33291	-48.324	3.1288	0.90037	0.652124	-1.50637	2.66364	-2.54807	-1.95067
60.244	1.16985	0.0946992	53.2102	-4.45407	-48.0449	3.44221	0.997044	0.735083	-1.62753	2.94272	-2.81499	-2.12356
70.243	1.36402	0.110417	53.3109	-4.47225	-47.8351	3.65313	1.0792	0.835711	-1.64572	3.15255	-3.02223	-2.16825
80.242	1.55819	0.126135	53.3716	-4.71911	-47.4685	4.09508	1.19622	0.896394	-1.89257	3.51914	-3.36343	-2.50445
90.241	1.75235	0.141852	53.4574	-4.7793	-47.26	4.3213	1.27952	0.982256	-1.95276	3.72767	-3.56491	-2.60158
100.24	1.94652	0.15757	53.4953	-4.90991	-47.0829	4.54178	1.34578	1.02016	-2.08338	3.90468	-3.72765	-2.78042
110.24	2.14071	0.173289	53.5111	-4.96944	-46.8558	4.76834	1.37987	1.03592	-2.1429	4.13181	-3.94731	-2.88106
120.239	2.33487	0.189007	53.6042	-5.07182	-46.609	5.04864	1.48146	1.12907	-2.24528	4.37866	-4.18181	-3.0373
130.238	2.52904	0.204725	53.7432	-4.8542	-46.6544	4.9494	1.53671	1.26807	-2.02766	4.33326	-4.15969	-2.76703
140.287	2.72418	0.220521	53.6793	-5.17366	-46.2585	5.41513	1.5751	1.20409	-2.34712	4.72914	-4.51901	-3.20859
150.285	2.91832	0.236237	53.7111	-5.34605	-46.0251	5.70107	1.65054	1.23594	-2.51951	4.96253	-4.73137	-3.45252
160.285	3.11251	0.251956	53.7935	-5.16993	-46.0993	5.57897	1.66582	1.31834	-2.3434	4.88829	-4.67758	-3.22586
170.284	3.30668	0.267674	53.7964	-5.42904	-45.7905	5.96062	1.74239	1.3212	-2.6025	5.19715	-4.95472	-3.58858
180.283	3.50084	0.283392	53.8533	-5.42987	-45.6287	6.11517	1.79162	1.37819	-2.60334	5.35897	-5.11531	-3.61338
190.283	3.69503	0.299111	53.8114	-5.63278	-45.4083	6.38664	1.82297	1.33621	-2.80625	5.57931	-5.30957	-3.89828
200.282	3.8892	0.314829	53.9183	-5.48935	-45.4101	6.34683	1.86407	1.44313	-2.66281	5.57756	-5.32526	-3.71971
210.281	4.08336	0.330547	53.9183	-5.73472	-45.0851	6.73647	1.93992	1.44314	-2.90818	5.90253	-5.61755	-4.07597
220.279	4.27751	0.346263	53.9659	-5.69162	-45.0167	6.78846	1.96692	1.49071	-2.86509	5.97095	-5.69086	-4.0329
230.279	4.4717	0.361982	54.0032	-5.7742	-44.8897	6.9432	2.02023	1.52805	-2.94766	6.0979	-5.80634	-4.15677
240.277	4.66584	0.377698	54.0841	-5.73356	-44.8252	7.00102	2.07274	1.6089	-2.90703	6.16238	-5.87546	-4.11609
250.277	4.86003	0.393417	54.1026	-5.87839	-44.6089	7.25611	2.13208	1.62749	-3.05185	6.37876	-6.0714	-4.33398
260.276	5.0542	0.409135	54.132	-5.88688	-44.5215	7.34316	2.16043	1.65685	-3.06034	6.46616	-6.15693	-4.35929
270.275	5.24836	0.424853	54.1965	-5.9423	-44.3976	7.48998	2.22708	1.72135	-3.11577	6.59005	-6.27244	-4.45035
280.325	5.44352	0.440651	54.1334	-6.09666	-44.1437	7.76419	2.23502	1.6582	-3.27013	6.84393	-6.5032	-4.69036
290.273	5.6367	0.456288	54.1696	-6.11971	-44.057	7.85811	2.27145	1.69444	-3.29317	6.93064	-6.58593	-4.73504
300.273	5.83088	0.472007	54.2117	-6.15579	-43.9672	7.9615	2.3154	1.73651	-3.32925	7.02041	-6.66985	-4.79711
