# Date: Wed Nov 8 14:21:51 2023
# Object: BWS0001-BW1-G03
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 04
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
372.016	7.22403	0.584782	53.339	-6.13582	-43.8605	7.86614	2.03787	1.26891	-3.44303	6.95784	-6.60203	-4.93047
382.015	7.4182	0.6005	53.3794	-6.14575	-43.789	7.94028	2.06975	1.30929	-3.45297	7.02928	-6.67141	-4.95605
392.065	7.61335	0.616298	53.3284	-6.26908	-43.6321	8.12499	2.08742	1.25825	-3.57629	7.18627	-6.80949	-5.14315
402.064	7.80752	0.632016	53.377	-6.27337	-43.6005	8.16243	2.1191	1.3069	-3.58058	7.2178	-6.84009	-5.15451
412.063	8.00169	0.647733	53.3548	-6.43632	-43.378	8.42752	2.17213	1.28463	-3.74353	7.44034	-7.03674	-5.40665
422.061	8.19584	0.663449	53.4587	-6.35587	-43.3899	8.39804	2.20677	1.38853	-3.66308	7.42839	-7.03664	-5.30038
432.061	8.39002	0.679169	53.4712	-6.42985	-43.2832	8.52683	2.24391	1.40102	-3.73707	7.53514	-7.13145	-5.41649
442.06	8.58419	0.694886	53.4945	-6.30563	-43.2883	8.47244	2.22131	1.42438	-3.61284	7.52999	-7.14444	-5.25456
452.059	8.77835	0.710604	53.5266	-6.36205	-43.2438	8.54157	2.26015	1.45644	-3.66926	7.57454	-7.18034	-5.33617
462.058	8.97252	0.726322	53.5516	-6.48009	-43.0578	8.7615	2.32325	1.48147	-3.7873	7.7605	-7.34691	-5.52545
472.108	9.16768	0.74212	53.5475	-6.52556	-42.9804	8.84906	2.33992	1.47734	-3.83278	7.83793	-7.41667	-5.5999
482.106	9.36183	0.757836	53.5707	-6.48812	-42.9686	8.84731	2.34383	1.50053	-3.79534	7.84976	-7.43397	-5.55344
492.105	9.55599	0.773554	53.6353	-6.44834	-42.9405	8.86648	2.37453	1.5652	-3.75555	7.87785	-7.46767	-5.50706
502.105	9.75018	0.789273	53.6564	-6.50491	-42.8461	8.97803	2.41068	1.58626	-3.81212	7.97223	-7.55255	-5.59956
512.104	9.94434	0.804991	53.7172	-6.43785	-42.8585	8.94975	2.42991	1.64711	-3.74506	7.95987	-7.55034	-5.50945
522.103	10.1385	0.820708	53.6662	-6.71239	-42.5463	9.33438	2.49963	1.59606	-4.0196	8.272	-7.81706	-5.93228
532.102	10.3327	0.836426	53.6707	-6.62337	-42.6025	9.24724	2.47209	1.60053	-3.93058	8.21585	-7.77535	-5.8038
542.101	10.5268	0.852144	53.7566	-6.55612	-42.5723	9.26099	2.50954	1.68643	-3.86333	8.246	-7.81543	-5.72156
552.15	10.722	0.86794	53.7584	-6.65543	-42.4467	9.41472	2.54796	1.68825	-3.96265	8.37163	-7.92432	-5.87796
562.149	10.9161	0.883658	53.87	-6.54277	-42.5517	9.29509	2.58093	1.79989	-3.84998	8.26661	-7.83783	-5.70818
572.148	11.1103	0.899375	53.7906	-6.69386	-42.3083	9.55976	2.59016	1.72049	-4.00107	8.51001	-8.05504	-5.95741
582.148	11.3045	0.915095	53.7856	-6.78277	-42.1515	9.73572	2.62495	1.71551	-4.08999	8.66679	-8.19585	-6.10815
592.146	11.4986	0.930811	53.8574	-6.69097	-42.271	9.60395	2.63472	1.78724	-3.99818	8.54729	-8.09231	-5.96139
602.146	11.6928	0.94653	53.8396	-6.74753	-42.0911	9.78454	2.65409	1.76951	-4.05474	8.72726	-8.26114	-6.0743
612.145	11.887	0.962248	53.8817	-6.73579	-42.0991	9.78022	2.67684	1.81156	-4.043	8.71924	-8.25508	-6.05701
622.144	12.0812	0.977965	53.8524	-6.94412	-41.8409	10.0918	2.73829	1.78224	-4.25134	8.97746	-8.47642	-6.39002
632.193	12.2763	0.993762	53.9779	-6.70826	-42.0184	9.85911	2.7389	1.90775	-4.01548	8.79991	-8.33909	-6.03757
642.192	12.4705	1.00948	53.97	-6.8832	-41.8645	10.0668	2.79291	1.8999	-4.19041	8.95383	-8.46304	-6.30363
652.141	12.6637	1.02512	53.9894	-6.8073	-41.8418	10.0594	2.78728	1.91923	-4.11451	8.97658	-8.49774	-6.2074
662.19	12.8588	1.04091	53.9811	-6.96108	-41.6411	10.3001	2.8407	1.91096	-4.26829	9.17728	-8.67074	-6.45712
672.189	13.053	1.05663	54.0321	-6.90589	-41.684	10.2487	2.85463	1.96197	-4.2131	9.13438	-8.63749	-6.37372
682.189	13.2472	1.07235	54.049	-6.86846	-41.6706	10.2486	2.85707	1.9789	-4.17568	9.14775	-8.65678	-6.32659
692.188	13.4413	1.08807	54.0495	-7.08043	-41.4363	10.5448	2.93495	1.97933	-4.38765	9.38204	-8.85275	-6.66359
702.187	13.6355	1.10379	54.0889	-7.01527	-41.4652	10.4996	2.93982	2.01881	-4.32248	9.35314	-8.83518	-6.56945
712.186	13.8297	1.1195	54.0736	-7.06799	-41.3637	10.6088	2.95344	2.00351	-4.3752	9.45465	-8.92642	-6.66354
722.186	14.0238	1.13522	54.0409	-7.12889	-41.2721	10.7095	2.95794	1.97075	-4.43611	9.54626	-9.0064	-6.76678
732.184	14.218	1.15094	54.1529	-6.97947	-41.3897	10.5647	2.97887	2.08278	-4.28668	9.42861	-8.91556	-6.53845
742.183	14.4122	1.16666	54.1448	-7.10711	-41.2215	10.7652	3.02249	2.07464	-4.41433	9.59687	-9.05997	-6.74918
752.183	14.6063	1.18238	54.1097	-7.19051	-41.0355	10.9587	3.04024	2.03952	-4.49773	9.78287	-9.22894	-6.90568
762.181	14.8005	1.19809	54.2712	-7.02345	-41.2075	10.7688	3.08492	2.20106	-4.33067	9.61081	-9.08785	-6.63942
772.181	14.9947	1.21381	54.1653	-7.26145	-40.984	11.0443	3.09967	2.09513	-4.56867	9.8343	-9.26728	-7.01408
782.23	15.1898	1.22961	54.1683	-7.36147	-40.7856	11.2629	3.14838	2.09815	-4.66868	10.0327	-9.44498	-7.19808
792.179	15.383	1.24525	54.2465	-7.18621	-40.9733	11.0387	3.13234	2.17637	-4.49343	9.84505	-9.29093	-6.91462
802.228	15.5781	1.26104	54.2873	-7.21645	-40.889	11.1343	3.17482	2.21721	-4.52366	9.92936	-9.36872	-6.97581
812.227	15.7723	1.27676	54.23	-7.39442	-40.6478	11.411	3.20954	2.1599	-4.70164	10.1706	-9.57474	-7.27701
822.177	15.9655	1.2924	54.2734	-7.39073	-40.6356	11.4286	3.23706	2.20325	-4.69794	10.1827	-9.58737	-7.27499
832.225	16.1606	1.3082	54.3111	-7.32388	-40.673	11.3752	3.23936	2.24093	-4.6311	10.1453	-9.56247	-7.17453
842.174	16.3538	1.32384	54.3037	-7.39752	-40.5249	11.5359	3.269	2.23357	-4.70473	10.2934	-9.69505	-7.31183
852.224	16.549	1.33963	54.4125	-7.21377	-40.7268	11.3033	3.27215	2.34236	-4.52099	10.0915	-9.52888	-7.01121
862.223	16.7432	1.35535	54.3413	-7.42178	-40.4289	11.6388	3.30911	2.27121	-4.72899	10.3894	-9.78515	-7.36914
872.222	16.9373	1.37107	54.4319	-7.35416	-40.4593	11.6024	3.34686	2.36178	-4.66137	10.359	-9.76734	-7.26881
882.221	17.1315	1.38679	54.4586	-7.32424	-40.4757	11.5813	3.35518	2.38847	-4.63146	10.3427	-9.75661	-7.22374
892.22	17.3257	1.40251	54.402	-7.42279	-40.3677	11.7058	3.35445	2.33182	-4.73	10.4507	-9.84519	-7.38596
902.22	17.5199	1.41822	54.5003	-7.28343	-40.4497	11.5969	3.37534	2.43022	-4.59064	10.3686	-9.7894	-7.17419
912.218	17.714	1.43394	54.4961	-7.38586	-40.2847	11.7842	3.4147	2.42594	-4.69307	10.5336	-9.93342	-7.35612
922.268	17.9092	1.44974	54.4614	-7.4523	-40.1655	11.9103	3.42128	2.39128	-4.75952	10.6529	-10.0387	-7.47795
932.266	18.1033	1.46545	54.5183	-7.46325	-40.0979	11.9866	3.4682	2.44822	-4.77047	10.7204	-10.1031	-7.51038
942.266	18.2975	1.48117	54.5586	-7.41617	-40.1844	11.8989	3.47388	2.48843	-4.72338	10.6339	-10.0266	-7.4233
952.265	18.4917	1.49689	54.5984	-7.41512	-40.1485	11.9389	3.50378	2.52822	-4.72234	10.6698	-10.0621	-7.431
962.314	18.6868	1.51269	54.5168	-7.55976	-39.9467	12.16	3.50797	2.44662	-4.86697	10.8716	-10.2338	-7.68308
972.313	18.881	1.52841	54.5648	-7.54367	-39.9034	12.2021	3.53957	2.49469	-4.85088	10.915	-10.2795	-7.67216
982.312	19.0751	1.54412	54.6044	-7.4674	-39.9847	12.1073	3.5377	2.53422	-4.77461	10.8336	-10.2136	-7.5453
992.311	19.2693	1.55984	54.6355	-7.54957	-39.8625	12.2556	3.59179	2.56536	-4.85679	10.9559	-10.3186	-7.69108
1002.31	19.4635	1.57556	54.5488	-7.6682	-39.6604	12.4659	3.58779	2.47867	-4.97541	11.158	-10.4947	-7.90974
1012.31	19.6576	1.59128	54.661	-7.53468	-39.8092	12.3028	3.61053	2.59086	-4.8419	11.0092	-10.3737	-7.68442
1022.31	19.8518	1.60699	54.6288	-7.7423	-39.5626	12.599	3.66955	2.55863	-5.04952	11.2557	-10.5765	-8.03951
1032.31	20.046	1.62271	54.706	-7.56743	-39.7541	12.3745	3.65448	2.63591	-4.87464	11.0642	-10.4217	-7.74447
1042.31	20.2401	1.63843	54.6872	-7.59022	-39.6764	12.449	3.65592	2.61702	-4.89743	11.1419	-10.4937	-7.79683
1052.36	20.4353	1.65423	54.8035	-7.53597	-39.7188	12.4148	3.71594	2.73332	-4.84319	11.0995	-10.4622	-7.71003
1062.36	20.6295	1.66995	54.788	-7.5785	-39.5777	12.5542	3.73085	2.71788	-4.88571	11.2406	-10.5929	-7.80684
1072.3	20.8226	1.68558	54.7579	-7.62619	-39.5315	12.6078	3.72746	2.68779	-4.9334	11.2869	-10.6293	-7.88587
1082.35	21.0178	1.70138	54.7413	-7.6709	-39.3941	12.7448	3.74264	2.67112	-4.97812	11.4242	-10.7556	-7.98569
