# Date: Thu Nov 9 15:14:09 2023
# Object: noProject-BWS0001-BW1
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 07
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
379.068	7.36097	0.595868	52.4695	-5.65314	-41.5052	7.60215	2.14243	1.52806	-2.99285	6.81913	-6.50908	-4.60515
389.067	7.55514	0.611585	52.6038	-5.5787	-41.5574	7.55463	2.21886	1.66236	-2.91841	6.76697	-6.46737	-4.49474
399.116	7.75028	0.627382	52.5599	-5.63387	-41.4283	7.68221	2.20948	1.6184	-2.97359	6.896	-6.58785	-4.59321
409.115	7.94444	0.643099	52.6918	-5.46984	-41.5208	7.5661	2.26901	1.75035	-2.80955	6.80357	-6.518	-4.35379
419.114	8.13861	0.658817	52.5989	-5.62018	-41.3035	7.79748	2.24701	1.65749	-2.9599	7.02086	-6.71341	-4.59769
429.113	8.33278	0.674535	52.5926	-5.75969	-41.1455	7.99175	2.28394	1.65112	-3.0994	7.17882	-6.85082	-4.81769
439.113	8.52696	0.690254	52.6944	-5.67102	-41.1639	7.96293	2.33861	1.75289	-3.01074	7.16038	-6.84475	-4.69309
449.112	8.72113	0.705972	52.6887	-5.74289	-41.0748	8.06915	2.35604	1.74724	-3.08261	7.24954	-6.92319	-4.80825
459.111	8.91529	0.721689	52.7447	-5.75639	-40.9901	8.16264	2.40731	1.80328	-3.0961	7.33423	-7.00518	-4.84299
469.16	9.11043	0.737486	52.7804	-5.74726	-40.978	8.178	2.43292	1.83894	-3.08697	7.34633	-7.01843	-4.8328
479.109	9.30363	0.753125	52.6394	-5.9717	-40.6654	8.51511	2.4066	1.69789	-3.31141	7.6589	-7.29594	-5.20316
489.108	9.49779	0.768842	52.6485	-6.04647	-40.5149	8.68148	2.44384	1.70707	-3.38619	7.80947	-7.43393	-5.33724
499.107	9.69196	0.78456	52.6924	-5.7669	-40.7379	8.38274	2.39758	1.75094	-3.10662	7.5864	-7.25341	-4.90632
509.106	9.88613	0.800278	52.7071	-5.93371	-40.5431	8.62436	2.45855	1.76562	-3.27343	7.78118	-7.42244	-5.17545
519.106	10.0803	0.815997	52.7479	-5.87025	-40.5081	8.64066	2.47949	1.80646	-3.20997	7.81625	-7.46629	-5.09466
529.155	10.2755	0.831793	52.8554	-5.65759	-40.6992	8.41362	2.50327	1.91391	-2.99731	7.62509	-7.30691	-4.76297
539.154	10.4696	0.847511	52.845	-5.80101	-40.5458	8.60188	2.53359	1.90356	-3.14073	7.77847	-7.43876	-4.99123
549.152	10.6638	0.863227	52.7801	-6.05322	-40.2062	8.98865	2.56809	1.83865	-3.39293	8.11808	-7.73813	-5.41083
559.152	10.858	0.878947	52.8346	-5.94098	-40.2841	8.88774	2.57762	1.89314	-3.28069	8.04021	-7.67765	-5.23835
569.151	11.0521	0.894664	52.8787	-5.89099	-40.3036	8.86127	2.59882	1.93728	-3.23071	8.02069	-7.66561	-5.16478
579.15	11.2463	0.910382	52.8526	-6.06349	-40.1153	9.0897	2.63054	1.91111	-3.40321	8.20905	-7.82656	-5.4443
589.199	11.4414	0.926178	52.9406	-5.94197	-40.1501	9.0324	2.6687	1.99913	-3.28168	8.17424	-7.8101	-5.26733
599.199	11.6356	0.941898	53.0202	-5.75706	-40.3446	8.80834	2.67871	2.07869	-3.09678	7.97971	-7.6442	-4.97013
609.198	11.8298	0.957615	52.8905	-6.12634	-39.8801	9.33363	2.69466	1.94899	-3.46606	8.4442	-8.04956	-5.58246
