[HEADER]
Format	J&M ASCII Table
Comment	COA_01_P.00039_HAL03-noFilter_UVIR600um2-UV400um0.5_24mm
Date	25/09/2024 11:52:58
Order	Y (evenX)
TechType	UV
NumPoints	841
FirstX	304
LastX	1144
XType	nm
YType	Transmission
ZType	s
NumSubFile	61
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=91.00
Aver=20
Norm=1
Range=304.0-1144.0 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:23.207	00:00:46.417	00:01:09.608	00:01:32.798	00:01:55.993	00:02:19.191	00:02:42.381	00:03:05.571	00:03:28.765	00:03:51.951	00:04:15.148	00:04:38.334	00:05:01.528	00:05:24.711	00:05:47.897	00:06:11.086	00:06:34.278	00:06:57.466	00:07:20.658	00:07:43.845	00:08:07.038	00:08:30.230	00:08:53.418	00:09:16.613	00:09:39.800	00:10:02.989	00:10:26.180	00:10:49.375	00:11:12.569	00:11:35.762	00:11:58.958	00:12:22.149	00:12:45.341	00:13:08.536	00:13:31.727	00:13:54.919	00:14:18.110	00:14:41.308	00:15:04.501	00:15:27.692	00:15:50.883	00:16:14.079	00:16:37.274	00:17:00.470	00:17:23.667	00:17:46.860	00:18:10.053	00:18:33.244	00:18:56.439	00:19:19.629	00:19:42.820	00:20:06.009	00:20:29.211	00:20:52.392	00:21:15.577	00:21:38.765	00:22:01.956	00:22:25.139	00:22:48.327	00:23:11.521
314	100.458847	98.71122	100.785103	98.422501	99.813103	101.733612	98.899452	99.305382	101.633118	101.684738	99.712646	100.407265	101.701485	100.866104	100.899597	102.552208	100.439392	100.65979	101.274742	98.605324	100.683304	98.995842	102.464401	100.085045	100.219002	100.207687	100.323555	99.001274	100.069664	101.310936	100.474228	98.963715	100.152039	99.849304	99.013954	100.269249	101.849449	99.675079	101.44355	100.528542	100.457474	101.157532	100.610878	101.986099	99.626198	100.154732	99.609451	100.292763	100.320816	100.301376	101.255287	100.933098	100.119911	99.489548	101.44355	100.340271	99.92894	99.898178	101.073822	101.785194	100.970634
315	100.365517	98.590874	100.167702	98.333565	99.844322	101.360451	98.563187	99.152969	101.075508	101.034615	99.559357	100.406418	101.082108	100.771904	100.866905	101.623154	100.684753	100.935455	100.994957	99.039368	100.066139	99.398247	101.935745	100.054108	100.434074	99.653145	100.168945	98.664787	99.823273	100.723198	100.596382	99.119919	100.244102	99.572594	99.26239	100.576546	101.876282	100.01445	101.28653	100.188759	100.548889	100.662491	100.609589	101.889488	99.688614	99.877373	99.641113	99.707214	100.535675	100.854912	101.314186	100.961876	99.965736	99.675377	101.28653	100.216415	100.36013	99.89843	100.425018	101.319588	100.506783
316	100.272575	98.471016	99.552971	98.24498	99.875381	100.988892	98.228363	99.001183	100.520233	100.387283	99.406693	100.40554	100.465378	100.678078	100.83432	100.698067	100.929024	101.209915	100.716316	99.471512	99.451584	99.798897	101.409378	100.02327	100.648163	99.100922	100.014969	98.32975	99.577904	100.137985	100.717987	99.275414	100.335739	99.29702	99.50972	100.882492	101.902977	100.352325	101.13015	99.850449	100.63987	100.16954	100.608276	101.793266	99.750725	99.601173	99.672607	99.124191	100.74955	101.406006	101.372803	100.990532	99.812202	99.860405	101.13015	100.093063	100.789429	99.898651	99.779007	100.855949	100.044891
317	100.209793	98.455658	99.163826	98.43914	99.876564	100.626442	98.155037	98.991241	100.019417	99.772484	99.22496	100.501335	99.947975	100.592171	100.660721	100.02977	101.016258	101.282623	100.543022	99.790268	99.211311	100.14579	101.019135	100.007439	100.683006	98.744301	99.891449	98.315674	99.40789	99.614754	100.712761	99.363274	100.456764	99.052338	99.748558	100.904755	101.885101	100.540146	100.907646	99.580475	100.552094	99.82	100.673927	101.727333	99.73822	99.340988	99.681648	98.655075	100.791618	101.873123	101.252892	100.944817	99.637039	100.074348	100.900208	99.985146	101.068283	100.047554	99.336449	100.543022	99.763412
318	100.239983	98.764359	99.47123	99.51265	99.784981	100.288757	98.892563	99.421333	99.682884	99.252853	98.951027	100.898064	99.733917	100.529884	100.047668	100.152031	100.616692	100.729607	100.694969	99.760017	100.130447	100.329041	101.047836	100.038002	100.161697	98.991302	99.861015	99.29763	99.470123	99.278931	100.313759	99.242065	100.670006	98.9011	99.963112	100.046539	101.728668	100.263802	100.477669	99.520042	99.908684	99.912079	100.94799	101.754738	99.493973	99.128044	99.621033	98.535172	100.30072	102.083778	100.57756	100.667725	99.392982	100.380112	100.439682	99.923973	100.882782	100.659225	99.521187	100.694969	100.039139
319	100.270058	99.07196	99.777534	100.582214	99.693771	99.952354	99.627388	99.849854	99.347588	98.735123	98.678123	101.293358	99.520645	100.467812	99.436882	100.273872	100.218597	100.178635	100.846359	99.729912	101.046227	100.51162	101.076439	100.068436	99.642303	99.237396	99.830719	100.275993	99.53212	98.944366	99.916206	99.1213	100.882484	98.750412	100.17691	99.191467	101.5728	99.988495	100.049301	99.459831	99.267601	100.003815	101.221039	101.782036	99.250587	98.915878	99.560638	98.415695	99.811592	102.293686	99.904732	100.391685	99.149788	100.684753	99.980865	99.863022	100.697914	101.268684	99.705246	100.846359	100.313858
320	100.300049	99.378433	100.082718	101.647881	99.60289	99.617172	100.359581	100.276802	99.013504	98.219284	98.406258	101.687218	99.308189	100.406036	98.828354	100.395294	99.822006	99.629692	100.997208	99.699921	101.958679	100.693573	101.10495	100.098816	99.124817	99.482651	99.800537	101.250801	99.593956	98.611031	99.520172	99.001007	101.094231	98.600311	100.389954	98.339592	101.417526	99.714226	99.622543	99.399902	98.628899	100.095245	101.493134	101.809265	99.008163	98.704491	99.500519	98.2967	99.324272	102.502861	99.234367	100.116684	98.907539	100.988266	99.523735	99.802353	100.513794	101.875923	99.888664	100.997208	100.58757
321	99.8162	99.572983	100.156311	100.301758	99.800468	99.147736	99.972534	100.185135	98.692383	97.98114	98.86132	101.408516	99.473465	100.42659	98.777077	100.114403	99.290092	99.261269	100.796852	100.013519	101.111221	100.100883	101.123405	99.617126	99.075706	99.644165	99.573868	101.067078	99.261269	98.577972	99.53067	99.259956	100.640938	99.202301	99.887383	98.591492	100.91124	99.672997	99.374786	99.572983	98.833374	100.042809	100.868919	101.366196	99.118057	98.791023	99.218491	98.279343	98.934258	101.779236	98.891457	100.071182	99.132034	100.002251	99.644165	99.800926	100.128845	101.125191	99.4748	100.740074	100.341888
322	99.311417	99.756584	100.214218	98.837585	100.01136	98.68013	99.525627	100.06385	98.378868	97.764885	99.350861	101.094841	99.658127	100.451683	98.760727	99.815018	98.761276	98.911674	100.579346	100.341331	100.174774	99.473686	101.140808	99.114502	99.056068	99.797142	99.340073	100.816811	98.911674	98.56382	99.565651	99.536446	100.156853	99.837158	99.351974	98.905159	100.394356	99.646774	99.143166	99.756584	99.084763	99.982697	100.203392	100.903915	99.247032	98.893799	98.928986	98.268486	98.558411	101.014267	98.575745	100.040558	99.380096	98.958725	99.797142	99.803123	99.739815	100.3078	99.033386	100.463577	100.069794
323	98.817612	99.936142	100.270828	97.405334	100.217644	98.222717	99.088478	99.945206	98.072174	97.553375	99.82975	100.788025	99.838791	100.476242	98.744774	99.522163	98.243996	98.569687	100.366615	100.661972	99.25872	98.860161	101.157845	98.622879	99.036888	99.946777	99.111359	100.571976	98.569687	98.550018	99.599869	99.806877	99.683342	100.458206	98.828247	99.211975	99.888741	99.621147	98.916626	99.936142	99.330635	99.923927	99.552444	100.451721	99.373192	98.994301	98.64576	98.257896	98.190804	100.265991	98.266907	100.010635	99.622749	97.938004	99.946777	99.805267	99.359306	99.508278	98.601601	100.19313	99.803635
