[HEADER]
Format	J&M ASCII Table
Comment	COA_01_P.00039_HAL03-noFilter_UVIR600um2-UV400um0.5_24mm
Date	25/09/2024 11:25:28
Order	Y (evenX)
TechType	UV
NumPoints	841
FirstX	304
LastX	1144
XType	nm
YType	Transmission
ZType	s
NumSubFile	61
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=91.00
Aver=20
Norm=1
Range=304.0-1144.0 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:23.220	00:00:46.444	00:01:09.632	00:01:32.821	00:01:56.011	00:02:19.207	00:02:42.403	00:03:05.590	00:03:28.776	00:03:51.970	00:04:15.167	00:04:38.356	00:05:01.549	00:05:24.740	00:05:47.925	00:06:11.115	00:06:34.307	00:06:57.497	00:07:20.692	00:07:43.882	00:08:07.082	00:08:30.264	00:08:53.453	00:09:16.645	00:09:39.838	00:10:03.028	00:10:26.222	00:10:49.413	00:11:12.603	00:11:35.799	00:11:58.990	00:12:22.171	00:12:45.359	00:13:08.553	00:13:31.742	00:13:54.934	00:14:18.123	00:14:41.309	00:15:04.490	00:15:27.682	00:15:50.874	00:16:14.064	00:16:37.254	00:17:00.444	00:17:23.632	00:17:46.832	00:18:10.014	00:18:33.200	00:18:56.386	00:19:19.570	00:19:42.757	00:20:05.954	00:20:29.145	00:20:52.335	00:21:15.529	00:21:38.715	00:22:01.906	00:22:25.092	00:22:48.284	00:23:11.473
304	97.957741	98.451889	98.025848	99.788216	98.79493	97.711296	97.786804	98.411011	99.616089	98.210403	98.42585	98.690933	99.411705	98.889099	99.151611	98.533646	99.754745	99.307709	98.42585	98.8358	98.313202	98.00602	100.585747	98.8965	98.350311	97.457382	99.124352	99.576431	98.101418	98.849419	100.08297	98.746613	98.074158	98.958435	97.546562	100.665092	98.349091	98.568306	98.267334	97.862335	98.444458	99.136772	99.412933	97.333557	97.360817	98.4048	97.848724	98.581924	98.870468	97.127953	97.327316	98.349091	99.842712	99.535561	98.294571	98.349091	99.96656	99.2061	99.130592	97.890823	97.437553
305	97.9832	98.197372	98.207848	99.53746	98.385063	97.642281	97.655495	98.062569	99.677513	98.580544	97.639763	98.749763	99.003571	99.167343	98.617668	98.466942	99.191254	99.368271	97.639763	98.519859	98.683632	97.906601	99.336746	98.95591	97.626518	97.512733	98.527817	99.074951	98.221092	98.564781	99.801811	98.461693	98.131248	98.924202	97.570869	100.541878	98.094284	98.34539	97.824707	97.668709	98.408775	99.040535	98.535805	97.576126	97.666	97.806244	97.623787	98.390312	98.39827	97.369972	97.319794	98.094284	99.717178	98.940186	97.914558	98.094284	99.653763	98.797386	98.78418	97.290817	97.211449
306	98.008865	97.941452	98.390915	99.285316	97.972908	97.572914	97.523476	97.712227	99.739288	98.952774	96.849236	98.808914	98.593163	99.447159	98.080765	98.399902	98.624619	99.429176	96.849236	98.202126	99.056152	97.806618	98.080704	99.015648	96.898674	97.568398	97.927948	98.570671	98.341507	98.278542	99.519058	98.175186	98.18866	98.889839	97.595367	100.417969	97.838066	98.121246	97.379616	97.474007	98.372963	98.943748	97.653763	97.820122	97.972939	97.204308	97.397598	98.197647	97.923439	97.613388	97.312233	97.838066	99.590988	98.341438	97.532433	97.838066	99.339264	98.386398	98.435837	96.687431	96.984108
307	98.085693	97.770737	98.559387	99.072624	97.667206	97.480202	97.446999	97.411827	99.788544	99.279694	96.244186	98.86998	98.301544	99.623497	97.675987	98.383125	98.15406	99.394508	96.235397	97.938248	99.334923	97.726791	97.059212	99.011139	96.356499	97.636429	97.521652	98.118935	98.411964	97.993439	99.231384	97.876762	98.248817	98.790901	97.65403	100.314964	97.640823	97.96463	97.059212	97.308296	98.312828	98.729416	96.951317	98.046143	98.288368	96.695915	97.301414	98.076912	97.550491	97.856705	97.308296	97.649643	99.447235	97.874275	97.253105	97.632042	99.063843	98.072525	98.167267	96.182671	96.891701
308	98.472908	98.128944	98.631638	99.110176	98.026123	97.248093	97.71389	97.429581	99.758835	99.315819	96.799904	98.940109	98.749619	99.158493	98.097191	98.674751	98.291451	98.775192	96.728828	98.01474	99.027718	97.773567	97.515839	98.612663	96.973793	97.777367	98.318031	98.007141	98.173439	97.726631	98.924896	97.51722	98.323204	98.300423	97.919502	100.343994	97.812881	98.227974	97.515839	97.326752	98.106171	97.80291	97.377495	98.153076	98.643028	96.780952	98.00576	98.401833	97.816681	98.0896	97.326752	97.883949	99.201607	98.231766	97.614861	97.741814	99.039108	98.366318	98.398033	96.302383	97.630051
309	98.854866	98.482277	98.702881	99.147209	98.380157	97.019157	97.97715	97.44709	99.7295	99.351463	97.348083	99.009254	99.19162	98.699799	98.512665	98.96244	98.426933	98.164284	97.215546	98.090179	98.724731	97.81971	97.966209	98.219597	97.58268	97.916344	99.103523	97.896873	97.938194	97.463455	98.622604	97.162598	98.396545	97.816589	98.181396	100.372627	97.982605	98.487732	97.966209	97.344963	97.902328	96.889015	97.797867	98.258553	98.992859	96.864799	98.700516	98.722366	98.079269	98.319351	97.344963	98.115112	98.959358	98.584404	97.971695	97.850098	99.014702	98.656105	98.625687	96.420471	98.358307
310	99.231659	98.830826	98.773163	99.183723	98.729393	96.793304	98.236847	97.464355	99.700592	99.386581	97.888817	99.077454	99.627609	98.247307	98.922508	99.246239	98.560608	97.561646	97.695671	98.164597	98.425842	97.865204	98.410522	97.831863	98.183357	98.053482	99.878418	97.788094	97.706131	97.203865	98.324409	96.812752	98.468903	97.33934	98.439713	100.400841	98.150024	98.743973	98.410522	97.36293	97.701241	95.987488	98.212517	98.36261	99.337952	96.947517	99.385872	99.038544	98.33828	98.545998	97.36293	98.34314	98.72039	98.932259	98.3237	97.956909	98.990639	98.941978	98.850266	96.536957	99.076714
311	99.547646	99.244682	99.039223	100.12056	99.194908	97.75798	99.205399	98.651421	100.291702	100.323936	98.66684	99.577812	100.006271	98.740479	99.45018	99.729279	99.302902	97.821098	98.359688	98.922112	98.866005	98.591095	98.91581	98.463455	99.075684	98.301506	99.740509	98.541321	98.439629	98.086861	99.101624	97.446609	99.408783	97.929092	99.071495	100.225105	99.051819	99.480309	98.993637	97.823212	98.439629	97.491478	98.790253	98.840065	99.623398	97.779732	99.647232	99.214554	98.554657	98.758011	98.47187	99.099518	99.145103	99.553947	99.410889	98.537102	99.735573	99.47612	99.607941	97.632454	100.12056
312	99.855232	99.674812	99.344604	101.235497	99.686722	98.955521	100.316368	100.069496	101.004921	101.439758	99.496857	100.164154	100.377762	99.416039	100.004982	100.254349	100.166641	98.245056	99.064545	99.815155	99.449257	99.451752	99.437355	99.292618	100.031296	98.572739	99.429848	99.463661	99.361526	99.192978	100.088326	98.271355	100.520638	98.724953	99.779434	100.009384	100.100197	100.313881	99.608398	98.370972	99.361526	99.461761	99.404129	99.392227	99.90036	98.760674	99.831451	99.365952	98.765099	98.96933	99.796333	99.962387	99.698624	100.233032	100.646545	99.211769	100.632141	100.062027	100.473007	98.922333	101.235497
313	100.16552	100.10865	99.652672	102.360107	100.182808	100.163498	101.436981	101.499962	101.724396	102.565262	100.334084	100.755569	100.752495	100.097481	100.564621	100.783989	101.037888	98.672668	99.775566	100.715973	100.03756	100.319878	99.963409	100.12896	100.995216	98.846336	99.11647	100.394035	100.291458	100.308701	101.08358	99.103256	101.642136	99.527748	100.493538	99.791779	101.157738	101.154671	100.2285	98.923492	100.291458	101.449188	100.023354	99.949196	100.179733	99.750153	100.017273	99.518639	98.977333	99.182487	101.132324	100.832726	100.256935	100.918022	101.892982	99.892319	101.536522	100.652992	101.345573	100.223396	102.360107
