[HEADER]
Format	J&M ASCII Table
Comment	COA_01_P.00039_HAL03-noFilter_UVIR600um2-UV400um0.5_24mm
Date	25/09/2024 10:55:59
Order	Y (evenX)
TechType	UV
NumPoints	841
FirstX	304
LastX	1144
XType	nm
YType	Transmission
ZType	s
NumSubFile	61
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=91.00
Aver=20
Norm=1
Range=304.0-1144.0 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:23.187	00:00:46.395	00:01:09.558	00:01:32.735	00:01:55.916	00:02:19.089	00:02:42.268	00:03:05.440	00:03:28.813	00:03:51.988	00:04:15.165	00:04:38.342	00:05:01.715	00:05:24.888	00:05:48.077	00:06:11.445	00:06:34.830	00:06:58.002	00:07:21.179	00:07:44.358	00:08:07.535	00:08:30.720	00:08:53.895	00:09:17.274	00:09:40.449	00:10:03.630	00:10:26.802	00:10:49.983	00:11:13.365	00:11:36.744	00:11:59.922	00:12:23.095	00:12:46.275	00:13:09.652	00:13:33.038	00:13:56.215	00:14:19.391	00:14:42.571	00:15:05.745	00:15:29.131	00:15:52.309	00:16:15.484	00:16:38.660	00:17:01.839	00:17:25.021	00:17:48.197	00:18:11.367	00:18:34.739	00:18:58.108	00:19:21.291	00:19:44.471	00:20:07.645	00:20:30.821	00:20:54.008	00:21:17.188	00:21:40.360	00:22:03.541	00:22:26.719	00:22:49.898	00:23:13.069
304	99.591705	100.461533	100.234497	99.931732	98.112717	99.686028	98.744316	99.842415	100.811432	98.215714	100.635208	99.887016	101.115417	99.851059	100.765518	99.870918	101.333824	100.578201	99.370857	99.128944	100.228271	98.697105	101.375999	99.190987	98.903099	99.616562	99.074348	100.635208	98.800102	99.472618	98.951492	99.836197	98.874557	99.672386	99.893234	99.843613	100.070679	100.146362	99.728203	100.708473	100.669968	101.106773	101.44426	99.475075	100.982689	99.663742	98.47007	99.892006	100.861061	100.043404	99.96769	100.269226	98.559418	99.590477	101.245728	100.173637	99.466431	100.385857	98.757957	100.414398	100.455345
305	98.186073	99.868057	99.82843	99.775566	97.800346	98.96759	98.463181	99.717484	100.311684	97.903343	99.260818	98.450142	99.897194	99.038902	99.453575	99.339897	100.615379	100.015938	98.402527	98.785332	99.572311	98.072395	100.282738	98.753685	98.278381	99.210503	98.605774	99.260818	98.175392	98.972839	98.20182	99.461342	98.655907	98.922707	98.706261	99.250137	99.289795	99.302963	98.634949	100.208687	99.139381	100.575745	100.507179	98.0382	100.639084	99.601265	98.032761	99.173576	99.767807	99.200005	99.186806	99.706955	98.090843	98.653397	100.089981	99.392761	98.716751	99.854828	98.508034	99.477303	99.611946
306	96.780441	99.274559	99.422333	99.619362	97.487976	98.249146	98.182053	99.592522	99.811897	97.590965	97.886429	97.013298	98.678978	98.226776	98.141663	98.808899	99.896942	99.453667	97.434196	98.441719	98.916359	97.447678	99.189445	98.316345	97.653633	98.804436	98.137238	97.886429	97.550644	98.473053	97.452148	99.086517	98.437256	98.173027	97.519279	98.656631	98.508881	98.459602	97.541656	99.7089	97.608818	100.044724	99.570084	96.601364	100.295494	99.53878	97.595428	98.455139	98.674515	98.356613	98.405891	99.144691	97.622299	97.716309	98.934242	98.61187	97.967079	99.323837	98.258141	98.540215	98.768547
307	95.672256	98.711746	99.055656	99.511299	97.223839	97.731903	97.909752	99.44574	99.386475	97.361771	96.761353	95.921913	97.661972	97.576454	97.044075	98.282356	99.261642	99.000755	96.64962	98.181252	98.404701	97.006676	98.310455	97.997147	97.216988	98.433426	97.813049	96.778854	97.140213	98.04332	96.894951	98.790413	98.319221	97.567719	96.585983	98.224968	97.86795	97.71254	96.653992	99.318428	96.375671	99.55307	98.772934	95.544975	100.026215	99.52877	97.285027	97.876686	97.769325	97.622658	97.782433	98.683052	97.267525	96.984833	98.010284	98.005913	97.304985	98.906502	97.973389	97.856728	98.052055
308	96.391563	98.337624	98.931107	99.698761	97.255936	98.450562	97.691956	99.165009	99.417892	97.64357	97.168182	96.953323	97.881248	97.920609	97.263542	97.78347	99.137016	99.219612	96.994064	98.431557	98.779831	97.694336	98.748032	98.403595	97.935814	98.277832	98.375603	97.310509	98.046371	98.043953	97.520218	98.978104	98.819191	97.849449	97.211357	98.787399	98.087158	97.557198	97.029663	99.599609	96.96991	99.303528	98.835777	96.826172	100.213516	99.841087	97.754097	98.158318	98.019768	97.560974	98.126526	98.839584	97.611771	97.516418	98.510353	98.474762	97.180969	99.187813	97.474602	98.731438	98.11512
309	97.110397	97.963661	98.806618	99.886086	97.28801	99.168755	97.474228	98.884415	99.449257	97.925156	97.574738	97.984009	98.100349	98.264519	97.482834	97.284904	99.012466	99.438271	97.338264	98.681679	99.154648	98.381577	99.185272	98.809761	98.65416	98.122337	98.937782	97.841827	98.951912	98.044571	98.145103	99.165649	99.318855	98.130974	97.836334	99.349442	98.306168	97.401932	97.405037	99.880585	97.563744	99.054115	98.898552	98.106567	100.400673	100.153175	98.22287	98.439743	98.27002	97.499321	98.470367	98.995949	97.955772	98.047676	99.010078	98.943314	97.057037	99.468925	96.976128	99.605576	98.178116
310	97.828781	97.589935	98.68222	100.07328	97.32003	99.886497	97.256645	98.604004	99.480614	98.206535	97.981033	99.014099	98.319313	98.608208	97.701996	96.786613	98.888	99.656815	97.682243	98.931648	99.529251	99.068352	99.622276	99.215675	99.372063	97.966934	99.499634	98.372818	99.856888	98.045174	98.7696	99.353104	99.818169	98.412285	98.460922	99.911179	98.525063	97.246758	97.780212	100.161346	98.157204	98.804855	98.96125	99.386131	100.587715	100.465073	98.691353	98.720963	98.520103	97.437714	98.813995	99.152252	98.299561	98.578606	99.509499	99.411537	96.933144	99.749825	96.477928	100.479141	98.241074
311	98.060104	97.625198	98.436531	99.919647	97.107819	99.426224	97.448959	98.621216	99.723671	98.184189	98.162323	98.843277	98.364632	98.723434	98.038277	97.016174	98.901787	99.536896	97.855705	98.925713	99.4086	99.182304	99.61512	99.284515	98.889069	97.851471	99.173851	98.571159	98.956749	98.084099	98.588814	99.491074	99.506577	98.623314	98.386505	99.687019	98.621216	97.761948	97.462379	100.021866	98.444984	98.460518	98.821411	99.252113	100.248131	100.093735	98.669167	98.903885	98.412582	97.470833	98.875687	98.8172	98.416786	98.436531	99.382492	99.593262	97.272728	99.065331	96.787758	99.909073	98.210266
312	98.19799	97.735687	98.171867	99.705055	96.853363	98.754295	97.714523	98.693291	100.00248	98.105911	98.299423	98.452515	98.377205	98.794724	98.391502	97.377266	98.940971	99.35598	97.995132	98.872498	99.197937	99.188583	99.525848	99.290016	98.190536	97.74501	98.688332	98.705116	97.735069	98.129562	98.261475	99.617928	99.04924	98.818336	98.183693	99.320511	98.693291	98.393982	97.020752	99.806488	98.67215	98.103432	98.645996	98.8582	99.815804	99.601151	98.556419	99.066017	98.240303	97.521004	98.884323	98.395874	98.490433	98.171867	99.141296	99.71936	97.693344	98.211708	97.242867	99.079727	98.162521
313	98.333771	97.844467	97.91124	99.493736	96.602791	98.092583	97.97599	98.764259	100.277031	98.028824	98.434433	98.067703	98.389587	98.864914	98.73938	97.732872	98.979553	99.177818	98.132454	98.820068	98.990479	99.194778	99.43792	99.295433	97.502655	97.640167	98.210197	98.837021	96.532021	98.174324	97.939125	99.742874	98.598846	99.010422	97.983971	98.959579	98.764259	99.016403	96.585838	99.594391	98.895821	97.751762	98.473289	98.470306	99.390099	99.116051	98.445389	99.225677	98.070686	97.570412	98.892838	97.980995	98.562973	97.91124	98.903801	99.843529	98.107544	97.371124	97.691002	98.263	98.115501
